"Step","cs1 - env/train/proxy_corner/avg_return_by_level","cs1 - env/train/proxy_corner/avg_return_by_level__MIN","cs1 - env/train/proxy_corner/avg_return_by_level__MAX","cs2 - env/train/proxy_corner/avg_return_by_level","cs2 - env/train/proxy_corner/avg_return_by_level__MIN","cs2 - env/train/proxy_corner/avg_return_by_level__MAX","cs3 - env/train/proxy_corner/avg_return_by_level","cs3 - env/train/proxy_corner/avg_return_by_level__MIN","cs3 - env/train/proxy_corner/avg_return_by_level__MAX","cs4 - env/train/proxy_corner/avg_return_by_level","cs4 - env/train/proxy_corner/avg_return_by_level__MIN","cs4 - env/train/proxy_corner/avg_return_by_level__MAX","cs5 - env/train/proxy_corner/avg_return_by_level","cs5 - env/train/proxy_corner/avg_return_by_level__MIN","cs5 - env/train/proxy_corner/avg_return_by_level__MAX","cs6 - env/train/proxy_corner/avg_return_by_level","cs6 - env/train/proxy_corner/avg_return_by_level__MIN","cs6 - env/train/proxy_corner/avg_return_by_level__MAX","cs7 - env/train/proxy_corner/avg_return_by_level","cs7 - env/train/proxy_corner/avg_return_by_level__MIN","cs7 - env/train/proxy_corner/avg_return_by_level__MAX","cs8 - env/train/proxy_corner/avg_return_by_level","cs8 - env/train/proxy_corner/avg_return_by_level__MIN","cs8 - env/train/proxy_corner/avg_return_by_level__MAX","cs9 - env/train/proxy_corner/avg_return_by_level","cs9 - env/train/proxy_corner/avg_return_by_level__MIN","cs9 - env/train/proxy_corner/avg_return_by_level__MAX","cs10 - env/train/proxy_corner/avg_return_by_level","cs10 - env/train/proxy_corner/avg_return_by_level__MIN","cs10 - env/train/proxy_corner/avg_return_by_level__MAX","cs11 - env/train/proxy_corner/avg_return_by_level","cs11 - env/train/proxy_corner/avg_return_by_level__MIN","cs11 - env/train/proxy_corner/avg_return_by_level__MAX"
"0","0.022938700392842293","0.022938700392842293","0.022938700392842293","0.017950790002942085","0.017950790002942085","0.017950790002942085","0.017950790002942085","0.017950790002942085","0.017950790002942085","0.019802087917923927","0.019802087917923927","0.019802087917923927","0.01565448008477688","0.01565448008477688","0.01565448008477688","0.027498777955770493","0.027498777955770493","0.027498777955770493","0.02310422621667385","0.02310422621667385","0.02310422621667385","0.02870880998671055","0.02870880998671055","0.02870880998671055","0.03145482763648033","0.03145482763648033","0.03145482763648033","0.040111131966114044","0.040111131966114044","0.040111131966114044","0.01956419087946415","0.01956419087946415","0.01956419087946415"
"64","0.4631240665912628","0.4631240665912628","0.4631240665912628","0.3559092879295349","0.3559092879295349","0.3559092879295349","0.32280492782592773","0.32280492782592773","0.32280492782592773","0.24587172269821167","0.24587172269821167","0.24587172269821167","0.22119879722595215","0.22119879722595215","0.22119879722595215","0.22605815529823303","0.22605815529823303","0.22605815529823303","0.24505972862243652","0.24505972862243652","0.24505972862243652","0.2150985300540924","0.2150985300540924","0.2150985300540924","0.36910873651504517","0.36910873651504517","0.36910873651504517","0.30743837356567383","0.30743837356567383","0.30743837356567383","0.08047057688236237","0.08047057688236237","0.08047057688236237"
"128","0.4723048806190491","0.4723048806190491","0.4723048806190491","0.3767983913421631","0.3767983913421631","0.3767983913421631","0.32258760929107666","0.32258760929107666","0.32258760929107666","0.2546764612197876","0.2546764612197876","0.2546764612197876","0.2314435988664627","0.2314435988664627","0.2314435988664627","0.21935366094112396","0.21935366094112396","0.21935366094112396","0.1853332668542862","0.1853332668542862","0.1853332668542862","0.14775972068309784","0.14775972068309784","0.14775972068309784","0.13911296427249908","0.13911296427249908","0.13911296427249908","0.1346241980791092","0.1346241980791092","0.1346241980791092","0.035693295300006866","0.035693295300006866","0.035693295300006866"
"192","0.5898733735084534","0.5898733735084534","0.5898733735084534","0.3962857723236084","0.3962857723236084","0.3962857723236084","0.27764883637428284","0.27764883637428284","0.27764883637428284","0.17730966210365295","0.17730966210365295","0.17730966210365295","0.17710170149803162","0.17710170149803162","0.17710170149803162","0.24052193760871887","0.24052193760871887","0.24052193760871887","0.2231246381998062","0.2231246381998062","0.2231246381998062","0.23088744282722473","0.23088744282722473","0.23088744282722473","0.30031105875968933","0.30031105875968933","0.30031105875968933","0.2054859697818756","0.2054859697818756","0.2054859697818756","0.060772605240345","0.060772605240345","0.060772605240345"
"256","0.5454322695732117","0.5454322695732117","0.5454322695732117","0.27036386728286743","0.27036386728286743","0.27036386728286743","0.10596226900815964","0.10596226900815964","0.10596226900815964","0.06580294668674469","0.06580294668674469","0.06580294668674469","0.08781079947948456","0.08781079947948456","0.08781079947948456","0.022566363215446472","0.022566363215446472","0.022566363215446472","0.00761913089081645","0.00761913089081645","0.00761913089081645","0.18945525586605072","0.18945525586605072","0.18945525586605072","0.2461308091878891","0.2461308091878891","0.2461308091878891","0.07286141812801361","0.07286141812801361","0.07286141812801361","0.007430547382682562","0.007430547382682562","0.007430547382682562"
"320","0.49531733989715576","0.49531733989715576","0.49531733989715576","0.2508361339569092","0.2508361339569092","0.2508361339569092","0.0736253559589386","0.0736253559589386","0.0736253559589386","0.028110526502132416","0.028110526502132416","0.028110526502132416","0.011047487147152424","0.011047487147152424","0.011047487147152424","0.02218572050333023","0.02218572050333023","0.02218572050333023","0.04754045605659485","0.04754045605659485","0.04754045605659485","0.12197796255350113","0.12197796255350113","0.12197796255350113","0.08897386491298676","0.08897386491298676","0.08897386491298676","0.01905231550335884","0.01905231550335884","0.01905231550335884","0","0","0"
"384","0.5549920201301575","0.5549920201301575","0.5549920201301575","0.24328140914440155","0.24328140914440155","0.24328140914440155","0.13482990860939026","0.13482990860939026","0.13482990860939026","0.06947629153728485","0.06947629153728485","0.06947629153728485","0.0450972281396389","0.0450972281396389","0.0450972281396389","0.039207205176353455","0.039207205176353455","0.039207205176353455","0.08116031438112259","0.08116031438112259","0.08116031438112259","0.02659572847187519","0.02659572847187519","0.02659572847187519","0.09974859654903412","0.09974859654903412","0.09974859654903412","0.06105580925941467","0.06105580925941467","0.06105580925941467","0.0128383319824934","0.0128383319824934","0.0128383319824934"
"448","0.5994765162467957","0.5994765162467957","0.5994765162467957","0.2013445496559143","0.2013445496559143","0.2013445496559143","0.0923200324177742","0.0923200324177742","0.0923200324177742","0.03413181006908417","0.03413181006908417","0.03413181006908417","0.05762581527233124","0.05762581527233124","0.05762581527233124","0.04281558096408844","0.04281558096408844","0.04281558096408844","0.02490180917084217","0.02490180917084217","0.02490180917084217","0.009559983387589455","0.009559983387589455","0.009559983387589455","0.015555689111351967","0.015555689111351967","0.015555689111351967","0.08167427778244019","0.08167427778244019","0.08167427778244019","0.07260815799236298","0.07260815799236298","0.07260815799236298"
"512","0.5862800478935242","0.5862800478935242","0.5862800478935242","0.19318562746047974","0.19318562746047974","0.19318562746047974","0.10539533197879791","0.10539533197879791","0.10539533197879791","0.10589385777711868","0.10589385777711868","0.10589385777711868","0.08465025573968887","0.08465025573968887","0.08465025573968887","0.020461898297071457","0.020461898297071457","0.020461898297071457","0.016502488404512405","0.016502488404512405","0.016502488404512405","0.04142385721206665","0.04142385721206665","0.04142385721206665","0.03975751996040344","0.03975751996040344","0.03975751996040344","0.1436876654624939","0.1436876654624939","0.1436876654624939","0.1097506731748581","0.1097506731748581","0.1097506731748581"
"576","0.5460824370384216","0.5460824370384216","0.5460824370384216","0.17988619208335876","0.17988619208335876","0.17988619208335876","0.08858593553304672","0.08858593553304672","0.08858593553304672","0.04255419224500656","0.04255419224500656","0.04255419224500656","0.006034504156559706","0.006034504156559706","0.006034504156559706","0.015878766775131226","0.015878766775131226","0.015878766775131226","0.010635584592819214","0.010635584592819214","0.010635584592819214","0.016355060040950775","0.016355060040950775","0.016355060040950775","0","0","0","0.011310683563351631","0.011310683563351631","0.011310683563351631","0.0353933721780777","0.0353933721780777","0.0353933721780777"
