"Step","cs11 - env/train/avg_return_by_level","cs11 - env/train/avg_return_by_level__MIN","cs11 - env/train/avg_return_by_level__MAX","cs10 - env/train/avg_return_by_level","cs10 - env/train/avg_return_by_level__MIN","cs10 - env/train/avg_return_by_level__MAX","cs9 - env/train/avg_return_by_level","cs9 - env/train/avg_return_by_level__MIN","cs9 - env/train/avg_return_by_level__MAX","cs8 - env/train/avg_return_by_level","cs8 - env/train/avg_return_by_level__MIN","cs8 - env/train/avg_return_by_level__MAX","cs7 - env/train/avg_return_by_level","cs7 - env/train/avg_return_by_level__MIN","cs7 - env/train/avg_return_by_level__MAX","cs6 - env/train/avg_return_by_level","cs6 - env/train/avg_return_by_level__MIN","cs6 - env/train/avg_return_by_level__MAX","cs5 - env/train/avg_return_by_level","cs5 - env/train/avg_return_by_level__MIN","cs5 - env/train/avg_return_by_level__MAX","cs4 - env/train/avg_return_by_level","cs4 - env/train/avg_return_by_level__MIN","cs4 - env/train/avg_return_by_level__MAX","cs3 - env/train/avg_return_by_level","cs3 - env/train/avg_return_by_level__MIN","cs3 - env/train/avg_return_by_level__MAX","cs2 - env/train/avg_return_by_level","cs2 - env/train/avg_return_by_level__MIN","cs2 - env/train/avg_return_by_level__MAX","cs1 - env/train/avg_return_by_level","cs1 - env/train/avg_return_by_level__MIN","cs1 - env/train/avg_return_by_level__MAX"
"0","0.20855417847633362","0.20855417847633362","0.20855417847633362","0.16585764288902283","0.16585764288902283","0.16585764288902283","0.15659120678901672","0.15659120678901672","0.15659120678901672","0.10140534490346909","0.10140534490346909","0.10140534490346909","0.17351892590522766","0.17351892590522766","0.17351892590522766","0.09734327346086502","0.09734327346086502","0.09734327346086502","0.09517279267311096","0.09517279267311096","0.09517279267311096","0.07498124986886978","0.07498124986886978","0.07498124986886978","0.06726734340190887","0.06726734340190887","0.06726734340190887","0.03690648451447487","0.03690648451447487","0.03690648451447487","0.022938700392842293","0.022938700392842293","0.022938700392842293"
"64","0.1489182412624359","0.1489182412624359","0.1489182412624359","0.14055278897285461","0.14055278897285461","0.14055278897285461","0.12742221355438232","0.12742221355438232","0.12742221355438232","0.19845494627952576","0.19845494627952576","0.19845494627952576","0.16654738783836365","0.16654738783836365","0.16654738783836365","0.2893035113811493","0.2893035113811493","0.2893035113811493","0.2982403039932251","0.2982403039932251","0.2982403039932251","0.3331482410430908","0.3331482410430908","0.3331482410430908","0.3911914527416229","0.3911914527416229","0.3911914527416229","0.4757336676120758","0.4757336676120758","0.4757336676120758","0.4631240665912628","0.4631240665912628","0.4631240665912628"
"128","0.1392257958650589","0.1392257958650589","0.1392257958650589","0.08826413750648499","0.08826413750648499","0.08826413750648499","0.14699341356754303","0.14699341356754303","0.14699341356754303","0.22242744266986847","0.22242744266986847","0.22242744266986847","0.15678757429122925","0.15678757429122925","0.15678757429122925","0.14474870264530182","0.14474870264530182","0.14474870264530182","0.3139684796333313","0.3139684796333313","0.3139684796333313","0.33335334062576294","0.33335334062576294","0.33335334062576294","0.44785168766975403","0.44785168766975403","0.44785168766975403","0.44540953636169434","0.44540953636169434","0.44540953636169434","0.4723048806190491","0.4723048806190491","0.4723048806190491"
"192","0.11449983716011047","0.11449983716011047","0.11449983716011047","0.12643088400363922","0.12643088400363922","0.12643088400363922","0.10173691809177399","0.10173691809177399","0.10173691809177399","0.15785306692123413","0.15785306692123413","0.15785306692123413","0.21559029817581177","0.21559029817581177","0.21559029817581177","0.29395297169685364","0.29395297169685364","0.29395297169685364","0.4386880397796631","0.4386880397796631","0.4386880397796631","0.5069382190704346","0.5069382190704346","0.5069382190704346","0.5573630332946777","0.5573630332946777","0.5573630332946777","0.5788211822509766","0.5788211822509766","0.5788211822509766","0.5898733735084534","0.5898733735084534","0.5898733735084534"
"256","0.09958907961845398","0.09958907961845398","0.09958907961845398","0.10684008151292801","0.10684008151292801","0.10684008151292801","0.20242628455162048","0.20242628455162048","0.20242628455162048","0.2796236276626587","0.2796236276626587","0.2796236276626587","0.31646454334259033","0.31646454334259033","0.31646454334259033","0.3375243842601776","0.3375243842601776","0.3375243842601776","0.48714905977249146","0.48714905977249146","0.48714905977249146","0.4878835082054138","0.4878835082054138","0.4878835082054138","0.531255304813385","0.531255304813385","0.531255304813385","0.5196134448051453","0.5196134448051453","0.5196134448051453","0.5454322695732117","0.5454322695732117","0.5454322695732117"
"320","0.16765189170837402","0.16765189170837402","0.16765189170837402","0.11774251610040665","0.11774251610040665","0.11774251610040665","0.20982591807842255","0.20982591807842255","0.20982591807842255","0.2835165560245514","0.2835165560245514","0.2835165560245514","0.42318078875541687","0.42318078875541687","0.42318078875541687","0.4899080991744995","0.4899080991744995","0.4899080991744995","0.5889418125152588","0.5889418125152588","0.5889418125152588","0.5674918293952942","0.5674918293952942","0.5674918293952942","0.5803244113922119","0.5803244113922119","0.5803244113922119","0.44806981086730957","0.44806981086730957","0.44806981086730957","0.49531733989715576","0.49531733989715576","0.49531733989715576"
"384","0.12864401936531067","0.12864401936531067","0.12864401936531067","0.23806427419185638","0.23806427419185638","0.23806427419185638","0.2645553946495056","0.2645553946495056","0.2645553946495056","0.4494191110134125","0.4494191110134125","0.4494191110134125","0.45889607071876526","0.45889607071876526","0.45889607071876526","0.5280748605728149","0.5280748605728149","0.5280748605728149","0.5005291700363159","0.5005291700363159","0.5005291700363159","0.5685468912124634","0.5685468912124634","0.5685468912124634","0.5002760887145996","0.5002760887145996","0.5002760887145996","0.5826994180679321","0.5826994180679321","0.5826994180679321","0.5549920201301575","0.5549920201301575","0.5549920201301575"
"448","0.14925506711006165","0.14925506711006165","0.14925506711006165","0.13681653141975403","0.13681653141975403","0.13681653141975403","0.19693975150585175","0.19693975150585175","0.19693975150585175","0.4730319082736969","0.4730319082736969","0.4730319082736969","0.48990023136138916","0.48990023136138916","0.48990023136138916","0.5456728935241699","0.5456728935241699","0.5456728935241699","0.659034252166748","0.659034252166748","0.659034252166748","0.5756441354751587","0.5756441354751587","0.5756441354751587","0.5935772061347961","0.5935772061347961","0.5935772061347961","0.5764681100845337","0.5764681100845337","0.5764681100845337","0.5994765162467957","0.5994765162467957","0.5994765162467957"
"512","0.3294605612754822","0.3294605612754822","0.3294605612754822","0.4109911024570465","0.4109911024570465","0.4109911024570465","0.6904784440994263","0.6904784440994263","0.6904784440994263","0.696495771408081","0.696495771408081","0.696495771408081","0.7385255098342896","0.7385255098342896","0.7385255098342896","0.6722360849380493","0.6722360849380493","0.6722360849380493","0.6881237030029297","0.6881237030029297","0.6881237030029297","0.6796068549156189","0.6796068549156189","0.6796068549156189","0.6412736773490906","0.6412736773490906","0.6412736773490906","0.6163883805274963","0.6163883805274963","0.6163883805274963","0.5862800478935242","0.5862800478935242","0.5862800478935242"
"576","0.3882827162742615","0.3882827162742615","0.3882827162742615","0.3894787132740021","0.3894787132740021","0.3894787132740021","0.5987699031829834","0.5987699031829834","0.5987699031829834","0.6971105337142944","0.6971105337142944","0.6971105337142944","0.652553915977478","0.652553915977478","0.652553915977478","0.6277168989181519","0.6277168989181519","0.6277168989181519","0.6661901473999023","0.6661901473999023","0.6661901473999023","0.5396071076393127","0.5396071076393127","0.5396071076393127","0.5961102247238159","0.5961102247238159","0.5961102247238159","0.5985277891159058","0.5985277891159058","0.5985277891159058","0.5460824370384216","0.5460824370384216","0.5460824370384216"
